location,latitude,longitude
location1,30.75,72.75
location2,31.25,72.75
location3,30.75,74.75
location4,32.25,74.75
location5,31.25,72.25
location6,31.75,72.25
location7,31.25,73.25
location8,30.75,73.25
location9,31.25,74.25
location10,31.25,74.75
location11,32.25,73.75
location12,31.75,74.25
location13,30.75,72.25
location14,31.75,73.25
location15,31.75,73.75
location16,31.75,74.75
location17,32.25,72.25
location18,32.25,73.25
location19,32.25,74.25
location20,30.75,74.25
location21,31.25,73.75
location22,31.75,72.75
location23,32.25,72.75
location24,30.75,73.75
