date,location1,location2,location3,location4,location5,location6,location7,location8,location9,location10,location11,location12,location13,location14,location15,location16,location17,location18,location19,location20,location21,location22,location23,location24
1/1/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2000,0,0,0,0.07,0,0,0,0,0,0,0.04,0.02,0,0,0.01,0.02,0,0.01,0.06,0,0,0,0,0
1/10/2000,0,0.01,0,0,0.01,0.03,0.01,0,0,0,0.03,0.01,0,0.03,0.02,0,0.06,0.05,0.01,0,0.01,0.03,0.06,0
1/11/2000,1.04,1.18,1.07,1.13,1.17,1.08,1.21,0.95,1.07,1.04,1.22,1.2,1.08,1.2,1.36,1.03,1.2,0.99,1.25,0.95,1.17,1.08,0.98,0.81
1/12/2000,16.31,18.78,21.35,40.6,12.79,11.39,24.28,18.99,29.28,29.8,34.98,35.52,14.11,28.51,32.3,36.88,17.05,30.79,38.93,21.56,27.2,21.51,25.19,20.85
1/13/2000,1.06,3.44,0.18,2.3,7.73,12.4,0.17,0.03,0.31,0.33,3.25,0.89,1.71,0.65,1.05,0.84,8.31,2.6,2.43,0.12,0.33,4.43,3.54,0.08
1/14/2000,0.22,0.22,0.38,0.06,0.24,0.21,0.18,0.23,0.29,0.38,0,0.13,0.2,0.07,0.05,0.21,0.14,0.01,0.03,0.33,0.17,0.14,0.06,0.25
1/15/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2000,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
1/19/2000,0,0,0,0.15,0,0,0,0,0.01,0.01,0.04,0.03,0,0,0.01,0.04,0,0.01,0.1,0,0,0,0,0
1/20/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/2000,0.06,0.05,0,0,0.05,0.05,0.03,0.05,0,0,0,0,0.05,0.01,0,0,0.07,0.01,0,0.01,0.01,0.03,0.03,0.01
1/25/2000,2.88,1.95,3.67,0.92,2.11,1.23,1.84,2.73,2.03,2.42,0.93,1.19,3.07,1.11,1.14,1.43,0.69,0.85,0.84,3.15,1.82,1.13,0.73,2.73
1/26/2000,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
1/27/2000,0.03,0.02,0.16,0.06,0.01,0.01,0.04,0.05,0.08,0.13,0.01,0.05,0.01,0.02,0.03,0.08,0,0.01,0.03,0.12,0.05,0.01,0,0.07
1/28/2000,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0
1/29/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2000,0.09,0.85,0.48,6.42,0.07,1.55,2.06,0.29,1.76,1.35,8.64,4.1,0,5.61,5.58,3.2,5.55,9.45,7.16,0.5,2.5,3.79,8.01,0.54
2/1/2000,2.2,3.56,0.46,13.71,4.44,5.32,2.21,1.74,1.63,1.71,9.95,4.88,2.48,2.88,3.45,5.73,4.46,6.73,12.61,0.72,1.45,3.79,4.93,1.15
2/2/2000,0.4,1.2,0.07,0.71,1.42,2.63,0.94,0.32,0.54,0.35,1.11,1.19,0.45,1.37,1.45,0.8,3.53,0.9,1.05,0.12,0.81,1.93,1.86,0.22
2/3/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2000,1.83,1.62,2.71,0.5,1.48,1.16,1.72,2.09,1.68,1.56,0.87,1.13,1.59,1.34,1.32,0.92,0.82,1.01,0.66,2.55,1.79,1.28,0.96,2.36
2/5/2000,0,0,0.29,0.85,0,0.01,0.01,0.01,0.28,0.52,0.29,0.36,0,0.03,0.11,0.67,0.02,0.09,0.57,0.18,0.04,0.01,0.03,0.03
2/6/2000,0.08,0.06,0.22,0.01,0.05,0.03,0.07,0.1,0.09,0.11,0.03,0.03,0.06,0.05,0.05,0.03,0.02,0.03,0.02,0.17,0.08,0.04,0.02,0.13
2/7/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2000,0.86,1.38,0.39,2.27,1.46,1.99,1.17,0.68,0.79,0.93,1.53,1.39,0.93,1.61,1.23,1.71,2.48,1.97,1.81,0.35,0.79,1.86,2.29,0.39
2/10/2000,1.93,1.93,4.77,4.67,1.06,1.36,2.96,2.94,3.72,3.79,4.8,3.84,1.05,2.99,4.13,3.48,1.66,3.35,4.93,4.15,3.88,1.94,2.11,3.74
2/11/2000,2.1,3.86,5.99,7.48,3.07,3.89,4.38,3.18,6.82,7.84,4.54,6.96,1.22,4.69,5.24,8.35,3.55,4.12,6.04,5.43,5.14,4.49,4.01,4.24
2/12/2000,1.25,0.66,0.05,1.03,1.31,0.78,0.39,0.45,0.32,0.27,1.85,0.94,1.98,0.83,1.03,0.75,0.83,1.58,1.48,0.05,0.36,0.64,1.13,0.07
2/13/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2000,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
